neighbourhood,price
Barking and Dagenham,161.35294117647058
Barnet,170.98362068965517
Bexley,163.72772277227722
Brent,200.35965598123533
Bromley,151.08247422680412
Camden,257.4405972045743
City of London,276.1363636363636
Croydon,144.0175159235669
Ealing,188.15188583078492
Enfield,175.9388888888889
Greenwich,177.85176738882555
Hackney,187.7782627673505
Hammersmith and Fulham,226.62141393442624
Haringey,168.884834663626
Harrow,163.7173913043478
Havering,178.62301587301587
Hillingdon,193.99640287769785
Hounslow,190.5374531835206
Islington,217.36503219415553
Kensington and Chelsea,334.8156492248062
Kingston upon Thames,186.69064748201438
Lambeth,199.0058949624866
Lewisham,157.84471365638765
Merton,203.69270833333334
Newham,187.5417495029821
Redbridge,175.98525073746313
Richmond upon Thames,245.37785588752197
Southwark,229.70722057368943
Sutton,129.05696202531647
Tower Hamlets,197.68597668668315
Waltham Forest,158.73430656934306
Wandsworth,233.46303501945525
Westminster,343.1440095608007
