NAME,GSS_CODE,HECTARES,NONLD_AREA,ONS_INNER,SUB_2009,SUB_2006,Point_Count,Average_Price,Area_m2,Area_km2,Density,Median_Four or More Bedrooms,Median_One Bedroom,Median_Room,Median_Studio,Median_Three Bedrooms,meadian_earnings,population,unemploy_count,unemploy_rate,ln_population,type,mean_median,mean_all,weighted_price,population_density,average-houseprice2023,Population per hectare,income-median
Barking and Dagenham,E09000002,3779.934,169.15,F,,,564,245.8404255,36107809.73,36.10780973,15.61988955,1900,1100,567,750,1550,558.4,222308,7500,6.8,12.31181909,1,1173.4,1694.502326,111.605042,6156.784409,337874,62.86394993,28000
Barnet,E09000003,8674.837,0,F,,,2249,160.5233437,86748313.66,86.74831366,25.92557602,3000,1350,606,1050,2100,633.1,395007,10400,5.4,12.88665877,1,1621.2,1401.8,138.2076712,4553.483328,588003.3333,48.21891985,33500
Bexley,E09000004,6428.649,370.619,F,,,495,95.04646465,60580233.44,60.58023344,8.17098205,1423,1125,,950,1476,680.2,250853,6400,4.9,12.43262239,1,1243.5,1718.571429,99.35531915,4140.839111,399607,42.95627774,29300
Brent,E09000005,4323.27,0,F,,,2740,179.0791971,43232639.86,43.23263986,63.3780405,2500,1350,797,990,2000,634.6,344521,9200,5.7,12.74991033,1,1527.4,1507.058366,155.6982193,7969.00215,518530.25,81.12250937,30000
Bromley,E09000006,15013.487,0,F,,,772,105.9727979,150134857.8,150.1348578,5.142043702,2300,1150,663,900,1800,718,331162,9300,5,12.71036296,1,1362.6,2266.636943,113.8058394,2205.763571,498806.3333,22.99372221,35800
Camden,E09000007,2178.932,0,T,,,5757,203.2881709,21789295.88,21.78929588,264.212301,4247,1725,850,1050,3132,732.1,220903,7300,4.9,12.30547897,0,2200.8,2289.222222,215.0626735,10138.14311,855102.6667,120.4692488,38900
Croydon,E09000008,8649.441,0,F,,,1506,91.06573705,86494436.27,86.49443627,17.41152454,2200,1100,586,1000,1700,678,397741,11400,5.3,12.89355632,1,1317.2,1339.244019,101.8639863,4598.457625,403380.6667,47.57950345,30400
Ealing,E09000009,5554.428,0,F,,,2169,125.2208391,55544349.68,55.54434968,39.04987659,2700,1350,779,1100,2022,623.1,375340,10000,4.9,12.83558756,1,1590.2,1745.159763,140.4210847,6757.483023,527583.4167,69.46130661,30900
Enfield,E09000010,8220.025,0,F,,,820,107.1597561,82200191.29,82.20019129,9.975645885,2275,1150,626,980,1700,598.2,327429,9400,5.6,12.69902652,1,1346.2,1492.585106,128.6199678,3983.311898,439242.5,43.65586978,29900
Greenwich,E09000011,5044.19,310.785,F,,,1927,121.9963674,47334072.5,47.3340725,40.71063186,2400,1500,893,1000,1950,719.4,294113,7700,4.4,12.59171933,0,1548.6,1681.535354,130.5797007,6213.557897,433509.4167,63.48815743,31800
Hackney,E09000012,1904.902,0,T,,,6182,132.9322226,19049027.65,19.04902765,324.5310003,3275,1690,904,1250,2750,667.7,263282,7300,3.8,12.48098098,0,1973.8,2054.757576,155.57882,13821.28289,592514.8333,155.4814485,34300
Hammersmith and Fulham,E09000013,1715.409,75.648,T,,,3795,177.23083,16397617.53,16.39761753,231.4360603,4500,1648,,1127,2999,790.1,186176,5000,4.8,12.13444774,0,2568.5,2340.930769,192.574276,11353.84452,823084.5,126.0494541,37000
Haringey,E09000014,2959.837,0,T,,,2382,149.8278757,29598386.56,29.59838656,80.47735965,2950,1400,763,965,2200,668.4,262895,7100,4.4,12.47950999,1,1655.6,1770.5625,127.2716956,8882.071983,581475.9167,99.75644957,31300
Harrow,E09000015,5046.33,0,F,,,503,105.4910537,50463300.69,50.46330069,9.967639712,2500,1200,621,950,1875,625.2,263448,5900,4.7,12.48161128,1,1429.2,1637.77686,109.1683778,5220.585978,511057.5833,52.93410125,32300
Havering,E09000016,11445.735,210.763,F,,,394,118.1903553,112349668.9,112.3496689,3.506908421,2010,1050,642,800,1505,670.7,268145,6300,4.4,12.49928316,1,1201.4,1340.024096,128.8217391,2386.700403,418317.75,24.62392723,29800
Hillingdon,E09000017,11570.063,0,F,,,863,103.4090382,115700543.7,115.7005437,7.458910496,2200,1100,576,975,1674,677.5,319018,11600,7,12.67300281,1,1305,1445.84058,114.6026588,2757.273128,450361,28.10534178,30600
Hounslow,E09000018,5658.541,60.755,F,,,1253,182.4557063,55926232.78,55.92623278,22.40451283,2500,1400,671,1072,1890,637.9,295706,7000,4.4,12.597121,1,1506.6,1645.065089,135.8838912,5287.429267,454689.3333,52.06696527,29300
Islington,E09000019,1485.664,0,T,,,4675,173.1691979,14856652.54,14.85665254,314.6738464,3800,1750,811,1175,2841,766.6,220584,7800,5,12.30403385,0,2075.4,2244.806452,182.3988137,14847.49,692363.8333,166.261506,38200
Kensington and Chelsea,E09000020,1238.379,25.994,T,,,5818,307.4327948,12123847.98,12.12384798,479.8806458,7800,2297,867,1597,4767,855.9,147460,4300,5.9,11.90131223,0,3465.6,3127.290441,324.9434673,12162.8051,1364330.917,134.6542601,43900
Kingston upon Thames,E09000021,3726.117,0,F,,,699,134.8040057,37261177.95,37.26117795,18.75947135,2575,1250,642,995,2075,684.3,170454,4900,4.6,12.04622074,1,1507.4,1605.507463,132.5494071,4574.573574,554732,50.44741476,35900
Lambeth,E09000022,2724.94,43.927,T,,,4774,141.0387516,26810041.6,26.8100416,178.0676088,3300,1600,,1050,2500,774.1,315706,8600,4.4,12.66256668,0,2112.5,2005.470588,274.9181173,11775.66244,540816,128.7894626,34500
Lewisham,E09000023,3531.706,16.795,T,,,2581,107.3339791,35149084.9,35.1490849,73.43007669,2600,1270,726,1050,1900,662.3,298708,8600,4.9,12.60722179,0,1509.2,1495.653266,118.6847826,8498.31513,444329.4167,92.69887469,32000
Merton,E09000024,3762.466,0,F,,,1453,153.2209222,37624744.41,37.62474441,38.61820254,2678,1350,692,1000,2100,745.3,215219,6300,5.3,12.27941139,1,1564,1725.706897,153.9045726,5720.14517,566566,58.01980601,33900
Newham,E09000025,3857.806,237.637,T,,,2311,151.5101688,36201727.43,36.20172743,63.83673277,2200,1410,722,1150,1900,633.9,362552,9900,5,12.80092319,1,1476.4,1653.0181,139.1282334,10014.77072,403854.6667,102.909273,28300
