NAME,GSS_CODE_x,HECTARES_x,NONLD_AREA,ONS_INNER_,SUB_2009_x,SUB_2006_x,GSS_CODE_y,HECTARES_y,NONLD_AR_1,ONS_INNE_1,SUB_2009_y,SUB_2006_y,Point_Coun,Average_Pr,Area_m2,Area_km2,Density,Median_Fou,Median_One,Median_Roo,Median_Stu,Median_Thr,meadian_ea,population,unemploy_c,unemploy_r,ln_populat,type,mean_media,mean_all
Kingston upon Thames,E09000021,3726.117,0.0,F,,,E09000021,3726.117,0.0,F,,,699,134.8040057,37261177.95,37.26117795,18.75947135,2575.0,1250,642.0,995,2075.0,684.3,170454,4900.0,4.6,12.04622074,1,1507.4,1605.507463
Croydon,E09000008,8649.441,0.0,F,,,E09000008,8649.441,0.0,F,,,1506,91.06573705,86494436.27,86.49443627,17.41152454,2200.0,1100,586.0,1000,1700.0,678.0,397741,11400.0,5.3,12.89355632,1,1317.2,1339.244019
Bromley,E09000006,15013.487,0.0,F,,,E09000006,15013.487,0.0,F,,,772,105.9727979,150134857.8,150.1348578,5.142043702,2300.0,1150,663.0,900,1800.0,718.0,331162,9300.0,5.0,12.71036296,1,1362.6,2266.636943
Hounslow,E09000018,5658.541,60.755,F,,,E09000018,5658.541,60.755,F,,,1253,182.4557063,55926232.78,55.92623278,22.40451283,2500.0,1400,671.0,1072,1890.0,637.9,295706,7000.0,4.4,12.597121,1,1506.6,1645.065089
Ealing,E09000009,5554.428,0.0,F,,,E09000009,5554.428,0.0,F,,,2169,125.2208391,55544349.68,55.54434968,39.04987659,2700.0,1350,779.0,1100,2022.0,623.1,375340,10000.0,4.9,12.83558756,1,1590.2,1745.159763
Havering,E09000016,11445.735,210.763,F,,,E09000016,11445.735,210.763,F,,,394,118.1903553,112349668.9,112.3496689,3.506908421,2010.0,1050,642.0,800,1505.0,670.7,268145,6300.0,4.4,12.49928316,1,1201.4,1340.024096
Hillingdon,E09000017,11570.063,0.0,F,,,E09000017,11570.063,0.0,F,,,863,103.4090382,115700543.7,115.7005437,7.458910496,2200.0,1100,576.0,975,1674.0,677.5,319018,11600.0,7.0,12.67300281,1,1305.0,1445.84058
Harrow,E09000015,5046.33,0.0,F,,,E09000015,5046.33,0.0,F,,,503,105.4910537,50463300.69,50.46330069,9.967639712,2500.0,1200,621.0,950,1875.0,625.2,263448,5900.0,4.7,12.48161128,1,1429.2,1637.77686
Brent,E09000005,4323.27,0.0,F,,,E09000005,4323.27,0.0,F,,,2740,179.0791971,43232639.86,43.23263986,63.3780405,2500.0,1350,797.0,990,2000.0,634.6,344521,9200.0,5.7,12.74991033,1,1527.4,1507.058366
Barnet,E09000003,8674.837,0.0,F,,,E09000003,8674.837,0.0,F,,,2249,160.5233437,86748313.66,86.74831366,25.92557602,3000.0,1350,606.0,1050,2100.0,633.1,395007,10400.0,5.4,12.88665877,1,1621.2,1401.8
Lambeth,E09000022,2724.94,43.927,T,,,E09000022,2724.94,43.927,T,,,4774,141.0387516,26810041.6,26.8100416,178.0676088,3300.0,1600,,1050,2500.0,774.1,315706,8600.0,4.4,12.66256668,0,2112.5,2005.470588
Southwark,E09000028,2991.34,105.139,T,,,E09000028,2991.34,105.139,T,,,5015,180.6051844,28862035.47,28.86203547,173.7576688,3500.0,1545,776.0,1200,2500.0,731.5,315519,7600.0,3.9,12.66197418,0,1904.2,2026.163265
Lewisham,E09000023,3531.706,16.795,T,,,E09000023,3531.706,16.795,T,,,2581,107.3339791,35149084.9,35.1490849,73.43007669,2600.0,1270,726.0,1050,1900.0,662.3,298708,8600.0,4.9,12.60722179,0,1509.2,1495.653266
Greenwich,E09000011,5044.19,310.785,F,,,E09000011,5044.19,310.785,F,,,1927,121.9963674,47334072.5,47.3340725,40.71063186,2400.0,1500,893.0,1000,1950.0,719.4,294113,7700.0,4.4,12.59171933,0,1548.6,1681.535354
Bexley,E09000004,6428.649,370.619,F,,,E09000004,6428.649,370.619,F,,,495,95.04646465,60580233.44,60.58023344,8.17098205,1423.0,1125,,950,1476.0,680.2,250853,6400.0,4.9,12.43262239,1,1243.5,1718.571429
Enfield,E09000010,8220.025,0.0,F,,,E09000010,8220.025,0.0,F,,,820,107.1597561,82200191.29,82.20019129,9.975645885,2275.0,1150,626.0,980,1700.0,598.2,327429,9400.0,5.6,12.69902652,1,1346.2,1492.585106
Waltham Forest,E09000031,3880.793,0.0,F,,,E09000031,3880.793,0.0,F,,,1715,104.122449,38807965.3,38.8079653,44.1919587,2300.0,1210,561.0,1025,1800.0,683.5,275980,8400.0,5.3,12.52808368,1,1379.2,1485.941558
Redbridge,E09000026,5644.225,2.3,F,,,E09000026,5644.225,2.3,F,,,869,118.3981588,56419224.21,56.41922421,15.40255139,2275.0,1150,692.0,850,1750.0,632.7,313392,8400.0,5.5,12.65521008,1,1343.4,1474.411348
Sutton,E09000029,4384.698,0.0,F,,,E09000029,4384.698,0.0,F,,,381,89.82152231,43846974.77,43.84697477,8.689310996,2450.0,1050,,815,1700.0,635.1,211123,5500.0,4.7,12.26019618,1,1503.75,1251.941176
Richmond upon Thames,E09000027,5876.111,135.443,F,,,E09000027,5876.111,135.443,F,,,1257,163.4025457,57353282.89,57.35328289,21.91679249,3775.0,1300,,1050,2136.0,749.5,195513,4800.0,4.5,12.18338215,1,2065.25,1982.467532
Merton,E09000024,3762.466,0.0,F,,,E09000024,3762.466,0.0,F,,,1453,153.2209222,37624744.41,37.62474441,38.61820254,2678.0,1350,692.0,1000,2100.0,745.3,215219,6300.0,5.3,12.27941139,1,1564.0,1725.706897
Wandsworth,E09000032,3522.022,95.6,T,,,E09000032,3522.022,95.6,T,,,4419,167.5732066,34264163.16,34.26416316,128.9685663,3600.0,1600,774.0,1150,2500.0,844.7,331456,8600.0,4.0,12.71125035,0,1924.8,2128.119149
Hammersmith and Fulham,E09000013,1715.409,75.648,T,,,E09000013,1715.409,75.648,T,,,3795,177.23083,16397617.53,16.39761753,231.4360603,4500.0,1648,,1127,2999.0,790.1,186176,5000.0,4.8,12.13444774,0,2568.5,2340.930769
Kensington and Chelsea,E09000020,1238.379,25.994,T,,,E09000020,1238.379,25.994,T,,,5818,307.4327948,12123847.98,12.12384798,479.8806458,7800.0,2297,867.0,1597,4767.0,855.9,147460,4300.0,5.9,11.90131223,0,3465.6,3127.290441
Westminster,E09000033,2203.005,54.308,T,,,E09000033,2203.005,54.308,T,,,9992,320.5913731,21486976.76,21.48697676,465.0258671,5200.0,2282,916.0,1473,4098.0,767.5,211508,6700.0,5.0,12.2620181,0,2793.8,2846.447514
Camden,E09000007,2178.932,0.0,T,,,E09000007,2178.932,0.0,T,,,5757,203.2881709,21789295.88,21.78929588,264.212301,4247.0,1725,850.0,1050,3132.0,732.1,220903,7300.0,4.9,12.30547897,0,2200.8,2289.222222
Tower Hamlets,E09000030,2157.501,179.707,T,,,E09000030,2157.501,179.707,T,,,7077,133.1260421,19777936.9,19.7779369,357.8229638,3400.0,1700,830.0,1560,2500.0,785.8,328626,10900.0,6.3,12.70267561,0,1998.0,2069.160256
Islington,E09000019,1485.664,0.0,T,,,E09000019,1485.664,0.0,T,,,4675,173.1691979,14856652.54,14.85665254,314.6738464,3800.0,1750,811.0,1175,2841.0,766.6,220584,7800.0,5.0,12.30403385,0,2075.4,2244.806452
Hackney,E09000012,1904.902,0.0,T,,,E09000012,1904.902,0.0,T,,,6182,132.9322226,19049027.65,19.04902765,324.5310003,3275.0,1690,904.0,1250,2750.0,667.7,263282,7300.0,3.8,12.48098098,0,1973.8,2054.757576
Haringey,E09000014,2959.837,0.0,T,,,E09000014,2959.837,0.0,T,,,2382,149.8278757,29598386.56,29.59838656,80.47735965,2950.0,1400,763.0,965,2200.0,668.4,262895,7100.0,4.4,12.47950999,1,1655.6,1770.5625
Newham,E09000025,3857.806,237.637,T,,,E09000025,3857.806,237.637,T,,,2311,151.5101688,36201727.43,36.20172743,63.83673277,2200.0,1410,722.0,1150,1900.0,633.9,362552,9900.0,5.0,12.80092319,1,1476.4,1653.0181
Barking and Dagenham,E09000002,3779.934,169.15,F,,,E09000002,3779.934,169.15,F,,,564,245.8404255,36107809.73,36.10780973,15.61988955,1900.0,1100,567.0,750,1550.0,558.4,222308,7500.0,6.8,12.31181909,1,1173.4,1694.502326
City of London,E09000001,314.942,24.546,T,,,E09000001,314.942,24.546,T,,,536,243.7220149,2903925.623,2.903925623,184.5777301,,2100,,2275,,,13462,,,9.507626181,0,2187.5,1366.869048
