Borough,Count of rents_Four or More Bedrooms,Count of rents_One Bedroom,Count of rents_Room,Count of rents_Studio,Count of rents_Three Bedrooms,Count of rents_Two Bedrooms,Mean_Four or More Bedrooms,Mean_One Bedroom,Mean_Room,Mean_Studio,Mean_Three Bedrooms,Mean_Two Bedrooms,Lower quartile_Four or More Bedrooms,Lower quartile_One Bedroom,Lower quartile_Room,Lower quartile_Studio,Lower quartile_Three Bedrooms,Lower quartile_Two Bedrooms,Median_Four or More Bedrooms,Median_One Bedroom,Median_Room,Median_Studio,Median_Three Bedrooms,Median_Two Bedrooms,Upper quartile_Four or More Bedrooms,Upper quartile_One Bedroom,Upper quartile_Room,Upper quartile_Studio,Upper quartile_Three Bedrooms,Upper quartile_Two Bedrooms
Barking and Dagenham,30.00 ,200.00 ,10.00 ,10.00 ,230.00 ,360.00 ,1931.00 ,1124.00 ,560.00 ,809.00 ,1573.00 ,1361.00 ,1750.00 ,1000.00 ,0.00 ,700.00 ,1425.00 ,1200.00 ,1900.00 ,1100.00 ,567,750,"1,550","1,350","2,200","1,227",0,913,"1,700","1,500"
Barnet,160.00 ,580.00 ,30.00 ,110.00 ,320.00 ,950.00 ,3184.00 ,1359.00 ,609.00 ,1029.00 ,2163.00 ,1602.00 ,2500.00 ,1200.00 ,500.00 ,918.00 ,1900.00 ,1435.00 ,3000.00 ,1350.00 ,606,"1,050","2,100","1,600","3,500","1,450",675,"1,125","2,400","1,750"
Bexley,60.00 ,80.00 ,0.00 ,10.00 ,150.00 ,150.00 ,1700.00 ,1112.00 ,0.00 ,1025.00 ,1507.00 ,1357.00 ,1357.00 ,900.00 ,0.00 ,0.00 ,1200.00 ,1175.00 ,1423.00 ,1125.00 ,0,950,"1,476","1,400","2,063","1,300",0,0,"1,800","1,550"
Brent,70.00 ,140.00 ,50.00 ,50.00 ,170.00 ,220.00 ,2655.00 ,1387.00 ,818.00 ,1042.00 ,2081.00 ,1710.00 ,2200.00 ,1200.00 ,706.00 ,850.00 ,1800.00 ,1500.00 ,2500.00 ,1350.00 ,797,990,"2,000","1,685","2,925","1,550",915,"1,200","2,250","1,900"
Bromley,190.00 ,770.00 ,10.00 ,30.00 ,440.00 ,1130.00 ,2539.00 ,1160.00 ,692.00 ,923.00 ,1848.00 ,1460.00 ,2100.00 ,1000.00 ,0.00 ,845.00 ,1600.00 ,1300.00 ,2300.00 ,1150.00 ,663,900,"1,800","1,450","2,750","1,300",0,"1,000","2,000","1,600"
Camden,60.00 ,520.00 ,10.00 ,190.00 ,230.00 ,560.00 ,4478.00 ,1813.00 ,921.00 ,1174.00 ,3213.00 ,2457.00 ,3626.00 ,1425.00 ,750.00 ,940.00 ,2598.00 ,2000.00 ,4247.00 ,1725.00 ,850,"1,050","3,132","2,400","5,113","2,058","1,050","1,281","3,791","2,800"
City of London,0.00 ,50.00 ,0.00 ,20.00 ,0.00 ,20.00 ,0.00 ,2183.00 ,0.00 ,2049.00 ,0.00 ,2795.00 ,0.00 ,1800.00 ,0.00 ,1517.00 ,0.00 ,2500.00 ,0.00 ,2100.00 ,0,"2,275",0,"2,809",0,"2,509",0,"2,496",0,"3,060"
Croydon,120.00 ,600.00 ,70.00 ,230.00 ,300.00 ,770.00 ,2297.00 ,1108.00 ,601.00 ,997.00 ,1723.00 ,1390.00 ,1925.00 ,980.00 ,517.00 ,960.00 ,1475.00 ,1250.00 ,2200.00 ,1100.00 ,586,"1,000","1,700","1,392","2,600","1,200",699,"1,050","1,900","1,500"
Ealing,140.00 ,490.00 ,10.00 ,60.00 ,230.00 ,760.00 ,2918.00 ,1380.00 ,701.00 ,1118.00 ,2141.00 ,1708.00 ,2300.00 ,1236.00 ,675.00 ,915.00 ,1750.00 ,1500.00 ,2700.00 ,1350.00 ,779,"1,100","2,022","1,650","3,283","1,500",796,"1,250","2,400","1,865"
Enfield,60.00 ,210.00 ,20.00 ,30.00 ,250.00 ,370.00 ,2427.00 ,1161.00 ,611.00 ,1020.00 ,1746.00 ,1444.00 ,2025.00 ,1050.00 ,526.00 ,925.00 ,1550.00 ,1308.00 ,2275.00 ,1150.00 ,626,980,"1,700","1,400","2,700","1,251",689,"1,150","1,900","1,550"
